Location,Cage,Cabinet,Rack Units,Elevation,Number of Rack Units,Power Status,FQDN,Manufacturer,Model,Serial Number,Asset Tag,Busines Service,Type of Power,Voltage,Comments
Ashburn-VA-EQIX-DC6,,108,9,9,1,on,vmhost13,HP,ProLiant DL360 G7,USE042N5L1,,,
Ashburn-VA-EQIX-DC6,,108,8,8,1,on,vmhost11,HP,ProLiant DL360 G7,USE042N5L4,,,
Ashburn-VA-EQIX-DC6,,108,7,7,1,on,vmhost9,HP,ProLiant DL360 G7,USE042N5L3,,,
Ashburn-VA-EQIX-DC6,,108,5,5,1,on,vmhost7,HP,ProLiant DL360 G7,USE042N5M1,,,
Ashburn-VA-EQIX-DC6,,108,4,4,1,on,vmhost5,HP,ProLiant DL360 G7,USE042N5LQ,,,
Ashburn-VA-EQIX-DC6,,108,3,3,1,on,vmhost3,HP,ProLiant DL360 G7,USE042N5LD,,,
Ashburn-VA-EQIX-DC6,,108,2,2,1,on,vmhost1-app-prod-iad,HP,ProLiant DL360 G7,USE042N5LC,,,
Ashburn-VA-EQIX-DC6,,108,"43,44",44,2,on,pdu104-1,APC,Switched Rack PDU,,,,
Ashburn-VA-EQIX-DC6,,108,"41,42",42,2,on,pdu104-2,APC,Switched Rack PDU,,,,
Ashburn-VA-EQIX-DC6,,109,28,28,1,on,vmhost32-app-prod-iad,HP,ProLiant DL360 G7,USE042N5LH,,,
Ashburn-VA-EQIX-DC6,,109,27,27,1,on,vmhost30,HP,ProLiant DL360 G7,USE042N5L9,,,
Ashburn-VA-EQIX-DC6,,109,21,21,1,on,vmhost28,HP,ProLiant DL360 G7,USE119N9FZ,,,
Ashburn-VA-EQIX-DC6,,109,20,20,1,on,vmhost26,HP,ProLiant DL360 G7,USE119N9FX,,,
Ashburn-VA-EQIX-DC6,,109,19,19,1,on,vmhost24,HP,ProLiant DL360 G7,USE119N9G2,,,
Ashburn-VA-EQIX-DC6,,109,18,18,1,on,vmhost22,HP,ProLiant DL360 G7,USE119N9FT,,,
Ashburn-VA-EQIX-DC6,,109,13,13,1,on,vmhost20-app-prod-iad,HP,ProLiant DL360 G7,USE042N5LA,,,
Ashburn-VA-EQIX-DC6,,109,12,12,1,on,vmhost18,HP,ProLiant DL360 G7,USE042N5LB,,,
Ashburn-VA-EQIX-DC6,,109,10,10,1,on,vmhost16,HP,ProLiant DL360 G7,USE042N5LK,,,
Ashburn-VA-EQIX-DC6,,109,9,9,1,on,vmhost14,HP,ProLiant DL360 G7,USE042N5L7,,,
Ashburn-VA-EQIX-DC6,,109,8,8,1,on,vmhost12,HP,ProLiant DL360 G7,USE042N5LS,,,
Ashburn-VA-EQIX-DC6,,109,7,7,1,on,vmhost10,HP,ProLiant DL360 G7,USE042N5LV,,,
Ashburn-VA-EQIX-DC6,,109,5,5,1,on,vmhost8,HP,ProLiant DL360 G7,USE042N5LR,,,
Ashburn-VA-EQIX-DC6,,109,4,4,1,on,vmhost6,HP,ProLiant DL360 G7,USE042N5L2,,,
Ashburn-VA-EQIX-DC6,,109,3,3,1,on,vmhost4,HP,ProLiant DL360 G7,USE042N5LP,,,
Ashburn-VA-EQIX-DC6,,109,2,2,1,on,vmhost2-app-prod-iad,HP,ProLiant DL360 G7,USE042N5LM,,,
Ashburn-VA-EQIX-DC6,,109,"43,44",44,2,on,pdu104-1,APC,Switched Rack PDU,,,,
Ashburn-VA-EQIX-DC6,,109,"41,42",42,2,on,pdu104-2,APC,Switched Rack PDU,,,,
Atlanta-GA-LVTL,,004.0401.C09.10,"15,16",16,2,,,ARBOR,,,,,
Atlanta-GA-LVTL,,004.0401.C09.10,"32,33",33,2,,resolver-atl01,HP,ProLiant DL385 G7    ,,,,
Atlanta-GA-LVTL,,004.0401.C09.10,"29,30",30,2,,resolver-atl02,HP,ProLiant DL385 G7    ,,,,
Atlanta-GA-LVTL,,004.0401.C09.10,"26,27",27,2,,uvm-atl01,HP,ProLiant DL385 G7    ,,,,
Atlanta-GA-LVTL,,004.0401.C09.10,"23,24",24,2,,uvm-atl02,HP,ProLiant DL385 G7    ,,,,
Atlanta-GA-LVTL,,004.0401.C09.10,"20,21",21,2,,,HP,ProLiant DL385 G7    ,,,,
Atlanta-GA-LVTL,,004.0401.C09.10,"17,18",18,2,,,HP,ProLiant DL385 G7    ,,,,
Bogota-COL-TER,,,38,38,1,,sw1tmco-sw0,Cisco,3750 G,,,,
Bogota-COL-TER,,,"40,41",41,2,,rtrbog01-01,Juniper,J6350,,,,
Bogota-COL-TER,,,"26,27",27,2,,uvm-bog-01-02,HP,ProLiant DL385 G7,,,,
Bogota-COL-TER,,,"29,30",30,2,,uvm-bog-01-01,HP,ProLiant DL385 G7,,,,
Bogota-COL-TER,,,"32,33",33,2,,resolver-bog01-02,HP,ProLiant DL385 G7,,,,
Bogota-COL-TER,,,"35,36",36,2,,resolver-bog01-01,HP,ProLiant DL385 G7,,,,
Chicago-IL-EQIX-FL5,,101,"5,6,7,8",8,4,On,ciixpprdb1,,,,,ENUM,
Chicago-IL-EQIX-FL5,,101,"13,14",14,2,On,ciixpprspsi1,,,,,ENUM,
Chicago-IL-EQIX-FL5,,101,"16,17",17,2,On,ciixpprap3,,,,,ENUM,
Chicago-IL-EQIX-FL5,,101,"19,20",20,2,On,ciixpprap1,,,,,ENUM,
Chicago-IL-EQIX-FL5,,101,"26,27,28",28,3,On,ciix550a,,,,,,
Chicago-IL-EQIX-FL5,,101,"30,31",31,2,Off,ciix550a,,,,,,
Chicago-IL-EQIX-FL5,,101,35,35,1,On,ciix37505a1,,,,,,
Chicago-IL-EQIX-FL5,,102,"5,6,7,8",,4,On,ciixpprdb2,,,,,,
Chicago-IL-EQIX-FL5,,102,"13,14",14,2,On,ciixpprsps12,,,,,,
Chicago-IL-EQIX-FL5,,102,"16,17",17,2,On,ciixpprap4,,,,,,
Chicago-IL-EQIX-FL5,,102,"19,20",20,2,On,ciixpprap2,,,,,,
Chicago-IL-EQIX-FL5,,102,"26,27,28",28,3,On,ciix550b,,,,,,
Chicago-IL-EQIX-FL5,,102,"30,31",31,2,Off,ciix550b,,,,,,
Chicago-IL-EQIX-FL5,,102,35,35,1,On,ciix37505a2,,,,,,
Chicago-IL-EQIX-FL5,,103,18,18,1,On,ciix2000la2,,,,,,
Chicago-IL-EQIX-FL5,,103,20,20,1,On,ciix2000la1,,,,,,
Chicago-IL-EQIX-FL5,,103,22,22,1,On,ciix3400la2,,,,,,
Chicago-IL-EQIX-FL5,,103,24,24,1,On,ciix3400la1,,,,,,
Chicago-IL-EQIX-FL5,,103,"26,27,28,29,30,31",31,6,On,ciix7604b,,,,,,
Chicago-IL-EQIX-FL5,,103,35,35,1,On,ciixcon1,,,,,,
Chicago-IL-EQIX-FL5,,103,"37,38,39,40,41,42",42,6,On,ciix7604a,,,,,,
Chicago-IL-NIS,,105,35,35,1,on,,Cisco,2800,FXT1389A36M,,,
Chicago-IL-NIS,,105,33,33,1,on,,Cisco,2811,FDO1252Y3YA,,,
Chicago-IL-NIS,,105,36,36,1,on,,Cisco,2821,FD01322SGJO,,,
Chicago-IL-NIS,,105,34,34,1,on,,Cisco,3759,,,,
Chicago-IL-NIS,,105,30,30,1,on,,Cisco,7200,FXT1310A10F,,,
Chicago-IL-NIS,,105,37,37,1,on,,Cisco,RPS,JN11E59D2ADB,,,
Dallas-TX-EQIX,,,"25,26",26,2,,,ARBOR,Pravail APS 2000,,157855,,
Dallas-TX-EQIX,,,"36,37",37,2,,resolver-dfw01,HP,ProLiant DL385 G7,,152769,,
Dallas-TX-EQIX,,,"33,34",34,2,,resolver-dfw02,HP,ProLiant DL385 G7,,152770,,
Dallas-TX-EQIX,,,"30,31",31,2,,uvm-dfw01,HP,ProLiant DL385 G7,,152771,,
Dallas-TX-EQIX,,,"27,28",28,2,,uvm-dfw02,HP,ProLiant DL385 G7,,152772,,
Dallas-TX-EQIX,,,"23,24",24,2,,dnsa-dfw01-01,HP,ProLiant DL385p G8,,157856,,
Dallas-TX-EQIX,,,"21,22",22,2,,dnsa-dfw01-02,HP,ProLiant DL385p G8,,157857,,
Denver-CO-LVLT,,C03.17,28,28,1,,sw-denqa01-02,Cisco,Catalyst 3750 G,,,,
Denver-CO-LVLT,,C03.17,29,29,1,,sw-denqa01-01,Cisco,Catalyst 3750 G,,,,
Denver-CO-LVLT,,C03.17,37,37,1,,rtr-dendev01-01,Juniper,J6350,,,,
Denver-CO-LVLT,,C03.17,1,1,1,,resolver-den01-02. dev,HP,ProLiant DL385p G8,,,,
Denver-CO-LVLT,,C03.17,3,3,1,,resolver-den01-02. dev ,HP,ProLiant DL385p G8,,,,
Denver-CO-LVLT,,C03.17,5,5,1,,uvm-den01-02.dev ,HP,ProLiant DL385p G8,,,,
Denver-CO-LVLT,,C03.17,7,7,1,,uvm-den01-01.dev,HP,ProLiant DL385p G8,,,,
Denver-CO-LVLT,,C03.17,9,9,1,,resolver-den01-02.qa,HP,ProLiant DL385p G8,,,,
Denver-CO-LVLT,,C03.17,11,11,1,,resolver-den01-01.qa,HP,ProLiant DL385p G8,,,,
Denver-CO-LVLT,,C03.17,13,13,1,,uvm-den01-02.qa ,HP,ProLiant DL385p G8,,,,
Denver-CO-LVLT,,C03.17,15,15,1,,uvm-den01-01.qa,HP,ProLiant DL385p G8,,,,
Denver-CO-LVLT,,C03.17,21,21,1,,dnsa-den01-02-dev,HP,ProLiant DL385p G8,,,,
Denver-CO-LVLT,,C03.17,23,23,1,,dnsa-den01-01-dev,HP,ProLiant DL385p G8,,,,
Denver-CO-LVLT,,C03.17,25,25,1,,dnsa-den01-02-qa,HP,ProLiant DL385p G8,,,,
Denver-CO-LVLT,,C03.17,27,27,1,,dnsa-den01-02-qa,HP,ProLiant DL385p G8,,,,
Denver-CO-LVLT,,C3A.15,37,37,1,,switch-den01-01 ,Juniper,E3800 ,,,,
Denver-CO-LVLT,,C3A.15,39,39,1,,router-den01-01,Juniper,J6350,,,,
Denver-CO-LVLT,,C3A.15,20,20,1,,prv-den01-01 ,ARBOR ,Pravail APS 2000,,,,
Denver-CO-LVLT,,C3A.15,23,23,1,,xtledge-dfw01-01.prod.ultradns.net ,HP,ProLiant DL385 G7,,,,
Denver-CO-LVLT,,C3A.15,26,26,1,,uvm-den02,HP,ProLiant DL385 G7,,,,
Denver-CO-LVLT,,C3A.15,29,29,1,,uvm-den01,HP,ProLiant DL385 G7,,,,
Denver-CO-LVLT,,C3A.15,32,32,1,,resolver-den02,HP,ProLiant DL385 G7,,,,
Denver-CO-LVLT,,C3A.15,35,35,1,,resolver-den01,HP,ProLiant DL385 G7,,,,
Denver-CO-LVLT,,C3A.15,15,15,1,,dnsa-den01-02,HP,ProLiant DL385p G8,,,,
Denver-CO-LVLT,,C3A.15,15,15,1,,dnsa-den01-01,HP,ProLiant DL385p G8,,,,
Dublin-IRL-LVLT,,IEDBZ4.S6.1.6 (Back),35,35,1,,sw-dub01-01,HP,E3800,,,,
Dublin-IRL-LVLT,,IEDBZ4.S6.1.6 (Back),"37,38",38,2,,rtr-dub01-01,Juniper,JN1204D5DADB,,,,
Dublin-IRL-LVLT,,IEDBZ4.S6.1.6,"39,40",40,2,,,ARBOR ,Pravail APS 2000,,,,
Dublin-IRL-LVLT,,IEDBZ4.S6.1.6,"32,33",33,2,,resolver-dub01-01,HP,ProLiant DL385 G7,,,,
Dublin-IRL-LVLT,,IEDBZ4.S6.1.6,"29,30",30,2,,resolver-dub01-02,HP,ProLiant DL385 G7,,,,
Dublin-IRL-LVLT,,IEDBZ4.S6.1.6,"26,27",27,2,,uvm-dub01-01,HP,ProLiant DL385 G7,,,,
Dublin-IRL-LVLT,,IEDBZ4.S6.1.6,"23,24",24,2,,uvm-dub01-02,HP,ProLiant DL385 G7,,,,
Dublin-IRL-LVLT,,IEDBZ4.S6.1.6,"21,22",22,2,,dnas-dub01-01,HP,ProLiant DL385p G8,,,,
Dublin-IRL-LVLT,,IEDBZ4.S6.1.6,"19,20",20,2,,dnas-dub01-02,HP,ProLiant DL385p G8,,,,
Hong Kong-CIN-EQIX,,922,40,40,1,,sw-hkg01-01,Cisco,Catalyst 3750 G,F0C1209Y26M,,,
Hong Kong-CIN-EQIX,,922,"41,42",42,2,,rtr-hkg01-01,Juniper,J6350,DE12250006,,,
Hong Kong-CIN-EQIX,,922,"15,16",16,2,,unknown,ARBOR ,Pravail APS 2000,,,,
Hong Kong-CIN-EQIX,,922,2,2,1,,rdns2eqhk,HP,ProLiant DL165 G5,2UX834008P,,,
Hong Kong-CIN-EQIX,,922,1,1,1,,rdns3eqhk,HP,ProLiant DL165 G5,,,,
Hong Kong-CIN-EQIX,,922,"3,4",4,2,,xtldedge-hkg01-01,HP,ProLiant DL385p G5,USE951NPS4,,,
Hong Kong-CIN-EQIX,,922,"19,20",20,2,,dnsa-hkg01-02,HP,ProLiant DL385p G8,SGH419FXYJ,,,
Hong Kong-CIN-EQIX,,922,"17,18",18,2,,dnsa-hkg01-01,HP,ProLiant DL385p G8,SGH419FXYL,,,
Hong Kong-CIN-EQIX,,922,"13,14",14,2,,resolver-hkg-01-01,HP,ProLiant DL385p G8,USE248N9KK,,,
Hong Kong-CIN-EQIX,,922,"11,12",12,2,,resolver-hkg-01-02,HP,ProLiant DL385p G8,USE248N9KT,,,
Hong Kong-CIN-EQIX,,922,"9,10",10,2,,uvm-hkg-01-01,HP,ProLiant DL385p G8,USE249NMX5,,,
Hong Kong-CIN-EQIX,,922,"7,8",8,2,,uvm-hkg-01-02,HP,ProLiant DL385p G8,USE249NMX8,,,
Johannesburg-ZAF-IS,,,6,6,1,on,,Cisco,Catalyst 3750 X,,,,
Johannesburg-ZAF-IS,,,"16,17",17,2,on,,ARBOR ,Pravail APS 2000,PR1-20131060C,,,
Johannesburg-ZAF-IS,,,"8,9",9,2,on,,HP,ProLiant DL385p G8,CZJ32001G8,,,
Johannesburg-ZAF-IS,,,"10,11",11,2,on,,HP,ProLiant DL385p G8,CZJ32001G7,,,
Johannesburg-ZAF-IS,,,"12,13",13,2,on,,HP,ProLiant DL385p G8,CZJ32001G9,,,
Johannesburg-ZAF-IS,,,"14,15",15,2,on,,HP,ProLiant DL385p G8,CZJ32001GB,,,
Johannesburg-ZAF-IS,,,"3,4",4,2,on,,Juniper,,JN1215BC4ADB,,,
London-GBR-BIS-1,,C10,,,,,sw4abld,Cisco,Catalyst 3750,,,,
London-GBR-BIS-1,,C10,,,,,sw3abld,Cisco,Catalyst 3750,,,,
London-GBR-BIS-1,,C10,,,,,rdns2abld,HP,ProLiant DL165 ,,,,
London-GBR-BIS-1,,C10,,,,,udns2abld,HP,ProLiant DL165 ,,,,
London-GBR-BIS-1,,C10,,,,,rdns3abld,HP,ProLiant DL165 G5,,,,
London-GBR-BIS-1,,C10,,,,,logc1abld,HP,ProLiant DL365,,,,
London-GBR-BIS-1,,C10,,,,,tldsec1abld,HP,ProLiant DL385 GP,,,,
London-GBR-BIS-1,,C10,,,,,tldprv1abld,HP,ProLiant DL385 GP,,,,
London-GBR-BIS-1,,C10,,,,,admin1abld,HP,ProLiant DL385 GP,,,,
London-GBR-BIS-1,,C10,,,,,rr1abld,Riorey,RX4000,,,,
London-GBR-BIS-1,,C10,,,,,con1abld,Logical Solutions,SCS160,,,,
London-GBR-BIS-1,,C10,,,,,mrv5abld,MRV,,,,,
London-GBR-BIS-1,,C10,,,,,,NRT Optics,,,,,
London-GBR-BIS-1,,C10,,,,,,US Robotics,,,,,
London-GBR-BIS-1,,C10,,,,,mrv1abld,MRV,,,,,
London-GBR-BIS-1,,C10,,,,,mrv2abld,MRV,,,,,
London-GBR-BIS-1,,C10,,,,,mrv4abld ,MRV,,,,,
London-GBR-BIS-1,,C10,,,,,cds1abld,MRV,,,,,
London-GBR-BIS-1,,C10,,,,,cds2abld,MRV,,,,,
Los Angeles-CA-EQIX,,,39,39,1,,switch-lax01-01,HP,E3800,,,,
Los Angeles-CA-EQIX,,,41,41,1,,,Juniper,J6350,73012593,,,
Los Angeles-CA-EQIX,,,"23,24",24,2,,prv-lax01-01,ARBOR,Pravail APS 2000,,,,
Los Angeles-CA-EQIX,,,"35,36",36,2,,resolver-lax01,HP,ProLiant DL385 G7,,,,
Los Angeles-CA-EQIX,,,"32,33",33,2,,resolver-lax02,HP,ProLiant DL385 G7,,,,
Los Angeles-CA-EQIX,,,"29,30",30,2,,uvm-lax01,HP,ProLiant DL385 G7,,,,
Los Angeles-CA-EQIX,,,"26,27",27,2,,uvm-lax02,HP,ProLiant DL385 G7,,,,
Los Angeles-CA-EQIX,,,"21,22",22,2,,dnsa.lax001.01,HP,ProLiant DL385p G8,,,,
Los Angeles-CA-EQIX,,,"19,20",20,2,,dnsa.lax01.02,HP,ProLiant DL385p G8,,,,
Madrid-ESP-TER,,,43,43,1,,sw-mad01-01,HP,E3800,,,,
Madrid-ESP-TER,,,44,44,1,,rtr-mad01-01,Juniper,J6350,,,,
Madrid-ESP-TER,,,29,29,1,,,ARBOR ,Pravail APS 2000,,,,
Madrid-ESP-TER,,,40,40,1,,resolver-mad01-01,HP,ProLiant DL385 G7,,,,
Madrid-ESP-TER,,,37,37,1,,resolver-mad01-02,HP,ProLiant DL385 G7,,,,
Madrid-ESP-TER,,,34,34,1,,uvm-mad01-01,HP,ProLiant DL385 G7,,,,
Madrid-ESP-TER,,,31,31,1,,uvm-mad01-02,HP,ProLiant DL385 G7,,,,
Madrid-ESP-TER,,,21,21,1,,dnas-mad01-01,HP,ProLiant DL385p G8,,,,
Madrid-ESP-TER,,,19,19,1,,dnas-mad01-02 ,HP,ProLiant DL385p G8,,,,
Miami-FL-TER,,NAPMIA.2CQ167,39,39,1,,switch-mia01-01,HP,E3800,,152749,,
Miami-FL-TER,,NAPMIA.2CQ167,"40,41",41,2,,router-mia01-01,Juniper,J6350,,152750,,
Miami-FL-TER,,NAPMIA.2CQ167,"20,21",21,2,,,ARBOR ,Pravail APS 2000,,,,
Miami-FL-TER,,NAPMIA.2CQ167,26,26,1,,ultra-dns,HP,ProLiant DL360,,,,
Miami-FL-TER,,NAPMIA.2CQ167,"23,24",24,2,,miuldmnns01,HP,ProLiant DL385 G5,,,,
Miami-FL-TER,,NAPMIA.2CQ167,"33,34",34,2,,resolver-mia02,HP,ProLiant DL385 G7,,152746,,
Miami-FL-TER,,NAPMIA.2CQ167,"31,32",32,2,,resolver-mia01,HP,ProLiant DL385 G7,,152745,,
Miami-FL-TER,,NAPMIA.2CQ167,"29,30",30,2,,uvm-mia02,HP,ProLiant DL385 G7,,152748,,
Miami-FL-TER,,NAPMIA.2CQ167,"27,28",28,2,,uvm-mia01,HP,ProLiant DL385 G7,,152747,,
Miami-FL-TER,,NAPMIA.2CQ167,"17,18",18,2,,server1 dnsa-mia01-01,HP,ProLiant DL385p G8,,157869,,
Miami-FL-TER,,NAPMIA.2CQ167,"15,16",16,2,,server2 dnsa-mia01-01,HP,ProLiant DL385p G8,,157868,,
Miami-FL-TER,,NAPMIA.2CQ167,38,38,1,,milmnssg140a,Juniper,SSG 140,,140824,,
Minneapolis-MN-LVLT,,,"21,22",22,2,,,ARBOR ,Pravail APS 2000,,,,
Minneapolis-MN-LVLT,,,"16,17",17,2,,,HP,,,,,
Minneapolis-MN-LVLT,,,"18,19",19,2,,,HP,,,,,
Minneapolis-MN-LVLT,,,"25,26",26,2,,uvm-msp02,,,,,,
Minneapolis-MN-LVLT,,,"28,29",29,2,,uvm-msp01,,,,,,
Minneapolis-MN-LVLT,,,31,31,1,,resolver-msp02,,,,,
Minneapolis-MN-LVLT,,,32,32,1,,resolver-msp01,,,,,
Minneapolis-MN-LVLT,,,34,34,1,,switch-msp01,HP,,,,
Minneapolis-MN-LVLT,,,"36,37",37,2,,router-msp01,Juniper,,,,
Mumbai-IND-TATA,,2A - D13,28,28,1,,,HP,E3800,,,
Mumbai-IND-TATA,,2A - D13,"41,42",42,2,,,Juniper,J6350,,,
Mumbai-IND-TATA,,2A - D13,"36,37",37,2,,,ARBOR ,Pravail APS 2000,,,
Mumbai-IND-TATA,,2A - D13,"24,25",25,2,,,HP,ProLiant DL385 G7,,,
Mumbai-IND-TATA,,2A - D13,"22,23",23,2,,,HP,ProLiant DL385 G7,,,
Mumbai-IND-TATA,,2A - D13,"20,21",21,2,,,HP,ProLiant DL385 G7,,,
Mumbai-IND-TATA,,2A - D13,"18,19",19,2,,,HP,ProLiant DL385 G7,,,
New York-NY-EQIX,,101,42,42,1,on,,Cisco,2921,FGL1730121P,,
New York-NY-EQIX,,101,44,44,1,on,,Cisco,ASR 1002,NYCMNY-INTERNET-RTR01,,
New York-NY-EQIX,,101,36,36,1,on,,F5,BIG IP 3600 series,F5- SUSN-UKBO,,
New York-NY-EQIX,,101,11,11,1,,,Dell,KVM-2162DS,72SN2PI,,
New York-NY-EQIX,,101,33,33,1,on,,Dell,Power Edge R610,FZBZKMI,,
New York-NY-EQIX,,101,32,32,1,on,,Dell,Power Edge R611,4JQXKNI,,,
New York-NY-EQIX,,101,29,29,1,on,,Dell,Power Edge R611,F9WTGX1,,,
New York-NY-EQIX,,101,27,27,1,on,,Dell,Power Edge R611,F9WVGX1,,,
New York-NY-EQIX,,101,25,25,1,on,,Dell,Power Edge R611,50DJCPI,,,
New York-NY-EQIX,,101,22,22,1,on,,Dell,Power Edge R611,50DPCPI,,,
New York-NY-EQIX,,101,23,23,1,on,,TRIPP- LITE,Rackmount console,B021-000-19,,,
New York-NY-EQIX,,101,40,40,1,on,,F5,Vipricon C2400,BLD410503S,,,
New York-NY-EQIX,,102,41,41,1,on,,Cisco,Catalyst 2960,F0C1010X0F0,,,
New York-NY-EQIX,,102,44,44,1,on,,Cisco,Catalyst 3750 G,FOC1204Z5LR,,,
New York-NY-EQIX,,102,43,43,1,on,,Cisco,Catalyst 3750 G,F0C1150Y5NJ,,,
New York-NY-EQIX,,102,11,11,1,on,,SOURCEFIRE,,12091900400128-P,,,
New York-NY-LVLT,,6C17.11,38,38,1,,switch jfk01-01,HP,E3800,,,,
New York-NY-LVLT,,6C17.11,39,39,1,,rtr-jfk01-01,Juniper,J6350,,,,
New York-NY-LVLT,,6C17.11,23,23,1,,prb-jfk01-01,ARBOR ,Pravail APS 2000,,,,
New York-NY-LVLT,,6C17.11,25,25,1,,uvm-jfk-01,HP,ProLiant DL385 G7,,,,
New York-NY-LVLT,,6C17.11,28,28,1,,uvm-jfk-02,HP,ProLiant DL385 G7,,,,
New York-NY-LVLT,,6C17.11,31,31,1,,resolver-jfk01,HP,ProLiant DL385 G7,,,,
New York-NY-LVLT,,6C17.11,34,34,1,,resolver-jfk02,HP,ProLiant DL385 G7,,,,
New York-NY-LVLT,,6C17.11,16,16,1,,dnsa-jfk01-02,HP,ProLiant DL385p  ,,,,
New York-NY-LVLT,,6C17.11,19,19,1,,dnsa-jfk01-01,HP,ProLiant DL385p  ,,,,
New York-NY-NY9,,109,40,40,1,on,,Cisco,2300,FDO1311SGK9,,,
New York-NY-NY9,,109,37,37,1,on,,Cisco,2811,FTX1310A1P6,,,
New York-NY-NY9,,109,39,39,1,on,,Cisco,2821,FTX1309A361,,,
New York-NY-NY9,,109,36,36,1,on,,Cisco,3750,FDO1252Y3YL,,,
New York-NY-NY9,,109,35,35,1,on,,Cisco,7200,73012634,,,
Palo Alto-CA-PXPA,,1703,36,36,1,on,,Cisco,2811,FTX1310A1PA,,,
Palo Alto-CA-PXPA,,1703,"37,38",38,1,on,,Cisco,2821,FTX1310A0CW,,,
Palo Alto-CA-PXPA,,1703,35,35,1,on,,Cisco,3750,FDO1252Y3YE,,,
Palo Alto-CA-PXPA,,1703,34,34,1,on,,Cisco,7200 VXR,CNM21COARB ,,,
Palo Alto-CA-PXPA,,1703,39,39,1,on,,Cisco,C3K-PWR-750WAC,COUPAA7BAA,,,
Palo Alto-CA-PXPA,,1703,33,33,1,on,,Cisco,NPE-G2,COUCAWCAA,,,
Paris-FRA-LVLT,, C15.02,"24,25",25,2,,,ARBOR,Pravail APS 2000,,,,
Paris-FRA-LVLT,, C15.02,"35,36",36,2,,resolver-cdg01-01,HP,ProLiant DL385p G7,,,,
Paris-FRA-LVLT,, C15.02,"32,33",33,2,,resolver-cdg01-02,HP,ProLiant DL385p G7,,,,
Paris-FRA-LVLT,, C15.02,"29,30",30,2,,uvm-cdg01-01,HP,ProLiant DL385p G7,,,,
Paris-FRA-LVLT,, C15.02,"26,27",37,2,,uvm-cdg01-02,HP,ProLiant DL385p G7,,,,
Paris-FRA-LVLT,, C15.02,"21,22",22,2,,dnsa-cdg01-01,HP,ProLiant DL385p G8,,,,
Paris-FRA-LVLT,, C15.02,"19,20",20,2,,dnsa-cdg01-02,HP,ProLiant DL385p G8,,,,
Paris-FRA-LVLT,,C16.02,39,39,1,on,sw-cdg01-01,HP,E3800,,,,
Paris-FRA-LVLT,,C16.02,"41,42",42,2,,rtr-cdg01-01,Juniper,J6350,,,,
Phoenix-AZ-LVLT,,103,39,39,1,,switch-phx01-01,HP,E3800,5667635,152780,,
Phoenix-AZ-LVLT,,103,40,40,1,,router-phx1-01,Juniper,J6350,SG22DLX1RZ,152779,,
Phoenix-AZ-LVLT,,103,18,18,1,,,ARBOR,Pravail APS 2000,SGH036X7,157876,,
Phoenix-AZ-LVLT,,103,1,1,1,,,HP,ProLiant DL385p G7,,,,
Phoenix-AZ-LVLT,,103,28,28,1,,uvm-phx02,HP,ProLiant DL385p G7,MXQ3410BTH,152782,,
Phoenix-AZ-LVLT,,103,31,31,1,,uvm-phx01,HP,ProLiant DL385p G7,5667680,152781,,
Phoenix-AZ-LVLT,,103,33,33,1,,resolver-phx02,HP,ProLiant DL385p G7,5667681,152784,,
Phoenix-AZ-LVLT,,103,36,36,1,,resolver-phx01,HP,ProLiant DL385p G7,5667633,152783,,
Phoenix-AZ-LVLT,,103,22,22,1,,dnsa-phx01-02,HP,ProLiant DL385p G8,PR1-20431066C,157878,,
Phoenix-AZ-LVLT,,103,24,24,1,,dnsa-phx01-01,HP,ProLiant DL385p G8,MXQ3410BTJ,157877,,
San Jose-CA-EQIX-SV5,,101,19,19,1,on,,HP,E3800,SG22DLX0QD,152755,,
San Jose-CA-EQIX-SV5,,101,"20,21",21,2,,router-sfo01-01,Juniper,J6350,JN11E55DCADB,152756,,
San Jose-CA-EQIX-SV5,,101,"17,18",18,2,on,prv-sjc01-01,ARBOR,Pravail APS 2000,PRI-20131058C,157882,,
San Jose-CA-EQIX-SV5,,101,"8,9",9,2,on,resolver-sfo01,HP,ProLiant DL385 G7,USE21628B7,152754,,
San Jose-CA-EQIX-SV5,,101,"6,7",7,2,on,resolver-sfo02,HP,ProLiant DL385 G7,USE21628C5,152753,,
San Jose-CA-EQIX-SV5,,101,"4,5",5,2,on,uvm-sfo01,HP,ProLiant DL385 G7,USE21628BB,152752,,
San Jose-CA-EQIX-SV5,,101,"2,3",3,2,on,uvm-sfo02,HP,ProLiant DL385 G7,USE21628DN,152751,,
San Jose-CA-EQIX-SV5,,101,"14,15",15,2,on,xtldedge-sjc01.prod.ultradns.net,HP,ProLiant DL385p G8,USE029NJCM,144886,,
San Jose-CA-EQIX-SV5,,101,"12,13",13,2,on,dnsa-sjc01-01,HP,ProLiant DL385p G8,USE343JJYN,157883,,
San Jose-CA-EQIX-SV5,,101,"10,11",11,2,on,dnsa-sjc01-02,HP,ProLiant DL385p G8,USE343JK08,157884,,
San Jose-CA-EQIX-SV5,,102,21,21,1,on,switch-sjc02-01,HP,ProLiant DL385p G8,SG22DLX1V4,152757,,
San Jose-CA-EQIX-SV5,,102,"15,16",16,2,on,dnsa-sjcsp01-01,HP,ProLiant DL385p G8,USE343JK0D,157681,,
