Location,Cage,Cabinet,Rack Units,Elevation,Number of Rack Units,Power Status,FQDN,Manufacturer,Model,Serial Number,Asset Tag,Busines Service,Type of Power,Voltage,Comments
Amsterdam-NLD-LVLT,,1.27.03,"28,29",29,2,on,dnsa-amssp01-01,HP,ProLiant DL385p G8,CZJ3430WG4,157692,,,,
Amsterdam-NLD-LVLT,,1.27.03,"26,27",27,2,on,dnsa-amssp01-01,HP,ProLiant DL385p G8,CZJ3430WFY,157895,,,,
Amsterdam-NLD-LVLT,,1.27.03,"24,25",25,2,on,dnsa-amssp01-01,HP,ProLiant DL385p G8,CZJ3430WG3,157896,,,,
Amsterdam-NLD-LVLT,,1.27.04,40,40,1,,mrv1ams,MRV,4000T,,149279,,
Amsterdam-NLD-LVLT,,1.27.04,34,34,1,,sw1ams,Cisco,Catalyst 4948,FOX1503HDLH,,,
Amsterdam-NLD-LVLT,,1.27.04,33,33,1,,,Juniper,EX4550,LX0213449711,,,
Amsterdam-NLD-LVLT,,1.27.04,"25,26",26,2,,ntsc1ams,Citrix,Netscaler MPX,5HA9J21EXX,149282,,
Amsterdam-NLD-LVLT,,1.27.04,"31,32",32,2,on,admin1.ams,HP,ProLiant DL380 G7,USE124N85V,148810,,
Amsterdam-NLD-LVLT,,1.27.04,"29,30",30,2,on,admin2.ams,HP,ProLiant DL380 G7,USE124N85R,148811,,
Amsterdam-NLD-LVLT,,1.27.04,"27,28",28,2,on,pcap1ams,HP,ProLiant DL380 G7,USE124NA6H,148808,,
Amsterdam-NLD-LVLT,,1.27.04,15,15,1,,,Juniper,SSG 140,,,,
Amsterdam-NLD-LVLT,,1.27.04,"9,10,11,12,13,14",14,6,,tms2ams,ARBOR ,,CDC-3709F,,,
Amsterdam-NLD-LVLT,,1.27.04,"3,4,5,6,7,8",8,6,,tms1ams,ARBOR ,,CZB-3103S,149662,,
Amsterdam-NLD-LVLT,,1.27.05,"14,15,16,17,18,19,20,21,22",22,9,,rtr1ams,Juniper,MX480,,149280,,
Ashburn-VA-LTSY-DC3,,E55-F40,40,40,1,,,HP,E3800,,,,
Ashburn-VA-LTSY-DC3,,E55-F40,"41,42",42,2,,router - 1 - ad01 - 01,Juniper,J6350,,,,
Ashburn-VA-LTSY-DC3,,E55-F40,"37,38",38,2,,uvm-iad01,HP,Proliant DL385G7,,,,
Ashburn-VA-LTSY-DC3,,E55-F40,"35,36",36,2,,uvm-iad02,HP,Proliant DL385G7,,,,
Ashburn-VA-LTSY-DC3,,E55-F40,"33,34",34,2,,resolver - iad01,HP,Proliant DL385G7,,,,
Ashburn-VA-LTSY-DC3,,E55-F40,"31,32",32,2,,resolver - iad02,HP,Proliant DL385G7,,,,
Ashburn-VA-LTSY-DC3,,E55-F41,39,39,1,,,HP,E3800,,,,
Ashburn-VA-LTSY-DC3,,E55-F41,"41,42",42,2,, rtr - iadsp01 - 01,Juniper,J6350,,,,
Ashburn-VA-LTSY-DC3,,E55-F41,"36,37",37,2,,uvm-1,HP,ProLiant DL385 G7,,,,
Ashburn-VA-LTSY-DC3,,E55-F41,"34,35",35,2,,uvm-2,HP,ProLiant DL385 G7,,,,
Ashburn-VA-LTSY-DC3,,E55-F41,"32,33",33,2,,uvm-3,HP,ProLiant DL385 G7,,,,
Ashburn-VA-LTSY-DC3,,E55-F41,"30,31",31,2,,uvm-4,HP,ProLiant DL385 G7,,,,
Ashburn-VA-LTSY-DC3,,E55-F41,"28,29",29,2,,resolver 1,HP,ProLiant DL385 G7,,,,
Ashburn-VA-LTSY-DC3,,E55-F41,"26,27",27,2,,resolver 2,HP,ProLiant DL385 G7,,,,
Ashburn-VA-LTSY-DC3,,E55-F41,"24,25",25,2,,resolver 3,HP,ProLiant DL385 G7,,,,
Ashburn-VA-LTSY-DC3,,E55-F41,"22,23",23,2,,resolver 4,HP,ProLiant DL385 G7,,,,
Ashburn-VA-LTSY-DC3,,E55-F42,38,38,1,,sw1ash,Cisco,Catalyst 4948 ,,,,
Ashburn-VA-LTSY-DC3,,E55-F42,39,39,1,,mrv1ash,MRV,LX 4000T,,,,
Ashburn-VA-LTSY-DC3,,E55-F42,14,14,1,,ntsc1ash,,Netscaler MPX,,,,
Ashburn-VA-LTSY-DC3,,E55-F42,20.21,21,2,,pcap1 ash,HP,ProLiant DL385 G7,,,,
Ashburn-VA-LTSY-DC3,,E55-F42,18.19,19,2,,admin1 ash,HP,ProLiant DL385 G7,,,,
Ashburn-VA-LTSY-DC3,,E55-F42,16.17,17,2,,admin2 ash,HP,ProLiant DL385 G7,,,,,,
Ashburn-VA-LTSY-DC3,,E55-F42,3,3,1,,rr1ash,Riorey,RE4000,,,,,,
Ashburn-VA-LTSY-DC3,,E55-F42,27,27,1,,,ARBOR,TMS-4000,,,,,,
Ashburn-VA-LTSY-DC3,,E55-F42,10,10,1,,,ARBOR,TMS-4000,,,,,,
Ashburn-VA-LTSY-DC3,,E55-F43,"5,6,7,8,9,10,11,12,13",13,9,,,Juniper,MX480,,,,,,
Ashburn-VA-EQIX-DC2,,101,26,26,1,on,,Cisco,4948,FOX110203GP,,,,,
Ashburn-VA-EQIX-DC2,,101,36,36,1,on,,Cisco,7604,1PUPAA6AAAA,,,,,
Ashburn-VA-EQIX-DC2,,101,28,28,1,on,,Cisco,3560 G,FOC1101Y182,,,,,
Ashburn-VA-EQIX-DC2,,101,16,16,1,on,,F5,3900,155113,,,,,
Ashburn-VA-EQIX-DC2,,101,12,12,1,on,,HP,ProLiant DL380 G5,2UX709017E,,,,,
Ashburn-VA-EQIX-DC2,,101,9,9,1,on,,HP,ProLiant DL380 G5,2UX703014Z,,,,,
Ashburn-VA-EQIX-DC2,,101,15,15,1,on,,HP,ProLiant DL385 G2,2UX71102XJ,,,,,
Ashburn-VA-EQIX-DC2,,101,4,4,1,on,,HP,ProLiant DL580,USE703N6RP,,,,,
Ashburn-VA-EQIX-DC2,,101,33,33,1,on,,Juniper,SSG 550,0010DBD2C780,,,,,
Ashburn-VA-EQIX-DC2,,102,26,26,1,on,,Cisco,4948,FOX1102086W,,,,,
Ashburn-VA-EQIX-DC2,,102,36,36,1,on,,Cisco,7604,1PUPAA6AAA,,,,,
Ashburn-VA-EQIX-DC2,,102,28,28,1,on,,Cisco,3560 G,FOC1101Y1A9,,,,,
Ashburn-VA-EQIX-DC2,,102,13,13,1,on,,F5,3900,5FLAB3900LA1,,,,,
Ashburn-VA-EQIX-DC2,,102,24,24,1,on,,MRV,40001,11147,,,,,
Ashburn-VA-EQIX-DC2,,102,15,15,1,on,,HP,ProLiant DL360 ,157296,,,,,
Ashburn-VA-EQIX-DC2,,102,12,12,1,on,,HP,ProLiant DL380 G5,2UX7030150,,,,,
Ashburn-VA-EQIX-DC2,,102,9,9,1,on,,HP,ProLiant DL380 G5,2UX703017R,,,,,
Ashburn-VA-EQIX-DC2,,102,22,22,1,on,,HP,ProLiant DL385 G2,2UX7110364,,,,,
Ashburn-VA-EQIX-DC2,,102,4,4,1,on,,HP,ProLiant DL580,USE703N6RJ,,,,,
Ashburn-VA-EQIX-DC2,,102,33,33,1,on,,Juniper,SSG 550,0010DBD2C000,,,,,
Ashburn-VA-EQIX-DC2,,103,44,44,1,on,,Cisco,2800,12546,,,,,
Ashburn-VA-EQIX-DC2,,103,42,42,1,on,,Cisco,2800,12545,,,,,
Ashburn-VA-EQIX-DC2,,103,40,40,1,on,,Cisco,2960,12548,,,,,
Ashburn-VA-EQIX-DC2,,103,38,38,1,on,,Cisco,2960,12945,,,,,
